freq,c_dest,purpose,duration,unit,geo,trips,nights,trips_uncertain,nights_uncertain,source_size
A,BE,TOTAL,N_GE1,NR,DE,1523551,6131697,TRUE,TRUE,8.5e+07
A,BE,TOTAL,N_GE1,NR,FR,1800003,6669687,FALSE,FALSE,6.8e+07
A,BE,TOTAL,N_GE1,NR,IT,1377167.95036371,5437103.33761232,TRUE,TRUE,6e+07
A,CH,TOTAL,N_GE1,NR,DE,3347817,18724862,FALSE,FALSE,8.5e+07
A,CH,TOTAL,N_GE1,NR,FR,972752,4407947,FALSE,FALSE,6.8e+07
A,CH,TOTAL,N_GE1,NR,IT,414511,1234063,TRUE,TRUE,6e+07
A,CN,TOTAL,N_GE1,NR,BE,53076,770267,TRUE,TRUE,1.1e+07
A,CN,TOTAL,N_GE1,NR,CH,27325.1557745254,405792.693087958,TRUE,TRUE,7e+06
A,CN,TOTAL,N_GE1,NR,CZ,40987.7336617881,608689.039631937,TRUE,TRUE,10500000
A,CN,TOTAL,N_GE1,NR,DE,545035,7516868,TRUE,TRUE,8.5e+07
A,CN,TOTAL,N_GE1,NR,DK,22640.8433560354,336228.231415737,TRUE,TRUE,5800000
A,CN,TOTAL,N_GE1,NR,ES,53334,767663,TRUE,TRUE,4.7e+07
A,CN,TOTAL,N_GE1,NR,FI,21469.7652514128,318837.115997682,TRUE,TRUE,5500000
A,CN,TOTAL,N_GE1,NR,FR,107589,1789549,TRUE,TRUE,6.8e+07
A,CN,TOTAL,N_GE1,NR,IE,19908.3277785828,295648.962106941,TRUE,TRUE,5100000
A,CN,TOTAL,N_GE1,NR,IT,234215.620924504,3478223.08361107,TRUE,TRUE,6e+07
A,CN,TOTAL,N_GE1,NR,LU,20503,198983,TRUE,TRUE,640000
A,CN,TOTAL,N_GE1,NR,NL,104882,1869164,TRUE,TRUE,1.7e+07
A,CN,TOTAL,N_GE1,NR,NO,20689.0465149978,307243.039052311,FALSE,FALSE,5300000
A,CN,TOTAL,N_GE1,NR,PL,28743,371057,TRUE,TRUE,3.7e+07
A,CN,TOTAL,N_GE1,NR,PT,40207.0149253731,597094.962686567,TRUE,TRUE,10300000
A,CN,TOTAL,N_GE1,NR,SE,164386,2718594,TRUE,TRUE,10400000
A,CN,TOTAL,N_GE1,NR,SK,21079.4058832053,313040.077524996,TRUE,TRUE,5400000
A,CN,TOTAL,N_GE1,NR,UK,261540.776699029,3884015.77669903,FALSE,FALSE,6.7e+07
A,CZ,TOTAL,N_GE1,NR,DE,2728299,13888109,FALSE,FALSE,8.5e+07
A,CZ,TOTAL,N_GE1,NR,FR,281892,1397252,FALSE,FALSE,6.8e+07
A,CZ,TOTAL,N_GE1,NR,IT,303657,1255938,TRUE,TRUE,6e+07
A,DE,TOTAL,N_GE1,NR,BE,1099593,4636491,FALSE,FALSE,1.1e+07
A,DE,TOTAL,N_GE1,NR,CH,2594734,11915255,FALSE,FALSE,7e+06
A,DE,TOTAL,N_GE1,NR,CZ,350146,1206703,FALSE,FALSE,10500000
A,DE,TOTAL,N_GE1,NR,DK,1938149,6184499,FALSE,FALSE,5800000
A,DE,TOTAL,N_GE1,NR,ES,1038628,5331612,FALSE,FALSE,4.7e+07
A,DE,TOTAL,N_GE1,NR,FI,603215,3592091,FALSE,FALSE,5500000
A,DE,TOTAL,N_GE1,NR,FR,1957066,7577235,FALSE,FALSE,6.8e+07
A,DE,TOTAL,N_GE1,NR,IE,237242,1085993,FALSE,FALSE,5100000
A,DE,TOTAL,N_GE1,NR,IT,994503,6151394,FALSE,FALSE,6e+07
A,DE,TOTAL,N_GE1,NR,LU,373276,1116137,FALSE,FALSE,640000
A,DE,TOTAL,N_GE1,NR,NL,3826634,19487075,FALSE,FALSE,1.7e+07
A,DE,TOTAL,N_GE1,NR,NO,341835.03292975,1800432.91777541,FALSE,FALSE,5300000
A,DE,TOTAL,N_GE1,NR,PL,2522944,24618025,FALSE,FALSE,3.7e+07
A,DE,TOTAL,N_GE1,NR,PT,130156,705364,FALSE,FALSE,10300000
A,DE,TOTAL,N_GE1,NR,SE,1414762,7178977,FALSE,FALSE,10400000
A,DE,TOTAL,N_GE1,NR,SK,309383,1341857,TRUE,TRUE,5400000
A,DE,TOTAL,N_GE1,NR,UK,4321310.79364023,22760189.7152741,FALSE,FALSE,6.7e+07
A,DK,TOTAL,N_GE1,NR,DE,2713653,18659755,FALSE,FALSE,8.5e+07
A,DK,TOTAL,N_GE1,NR,FR,211911,1244339,FALSE,FALSE,6.8e+07
A,DK,TOTAL,N_GE1,NR,IT,1179663.34077589,6339067.82026235,TRUE,TRUE,6e+07
A,ES,TOTAL,N_GE1,NR,DE,10984639,106879474,FALSE,FALSE,8.5e+07
A,ES,TOTAL,N_GE1,NR,FR,5155888,37047611,FALSE,FALSE,6.8e+07
A,ES,TOTAL,N_GE1,NR,IT,1877611,11266477,FALSE,FALSE,6e+07
A,FI,TOTAL,N_GE1,NR,DE,873070.819397993,3761540.91415831,TRUE,TRUE,8.5e+07
A,FI,TOTAL,N_GE1,NR,FR,102332,948295,TRUE,TRUE,6.8e+07
A,FI,TOTAL,N_GE1,NR,IT,616285.284280936,2655205.35117057,TRUE,TRUE,6e+07
A,FR,TOTAL,N_GE1,NR,BE,3888775,25739657,FALSE,FALSE,1.1e+07
A,FR,TOTAL,N_GE1,NR,CH,1623013,11326244,FALSE,FALSE,7e+06
A,FR,TOTAL,N_GE1,NR,CZ,146165,745432,TRUE,TRUE,10500000
A,FR,TOTAL,N_GE1,NR,DE,6467657,53709073,FALSE,FALSE,8.5e+07
A,FR,TOTAL,N_GE1,NR,DK,472685,3761743,FALSE,FALSE,5800000
A,FR,TOTAL,N_GE1,NR,ES,2560187,12924790,FALSE,FALSE,4.7e+07
A,FR,TOTAL,N_GE1,NR,FI,224386,1442508,FALSE,FALSE,5500000
A,FR,TOTAL,N_GE1,NR,IE,483302,3803577,FALSE,FALSE,5100000
A,FR,TOTAL,N_GE1,NR,IT,1313819,9249400,FALSE,FALSE,6e+07
A,FR,TOTAL,N_GE1,NR,LU,493697,2617876,FALSE,FALSE,640000
A,FR,TOTAL,N_GE1,NR,NL,2309906,24141288,FALSE,FALSE,1.7e+07
A,FR,TOTAL,N_GE1,NR,NO,361857.245388163,2715042.61369459,FALSE,FALSE,5300000
A,FR,TOTAL,N_GE1,NR,PL,368685,3632639,FALSE,FALSE,3.7e+07
A,FR,TOTAL,N_GE1,NR,PT,321701,2460828,FALSE,FALSE,10300000
A,FR,TOTAL,N_GE1,NR,SE,644193,4396814,FALSE,FALSE,10400000
A,FR,TOTAL,N_GE1,NR,SK,368684.740584166,2766269.83282091,TRUE,TRUE,5400000
A,FR,TOTAL,N_GE1,NR,UK,4574421.78132206,34322236.8146298,FALSE,FALSE,6.7e+07
A,IE,TOTAL,N_GE1,NR,DE,748310,6847498,TRUE,TRUE,8.5e+07
A,IE,TOTAL,N_GE1,NR,FR,274228,1734228,FALSE,FALSE,6.8e+07
A,IE,TOTAL,N_GE1,NR,IT,373538.595346814,3189771.90693629,TRUE,TRUE,6e+07
A,IS,TOTAL,N_GE1,NR,DE,157805.984919887,1351902.16776626,TRUE,TRUE,8.5e+07
A,IS,TOTAL,N_GE1,NR,FR,126244.78793591,1081521.73421301,TRUE,TRUE,6.8e+07
A,IS,TOTAL,N_GE1,NR,IT,111392.45994345,954283.883129123,TRUE,TRUE,6e+07
A,IT,TOTAL,N_GE1,NR,BE,1075830,8610040,FALSE,FALSE,1.1e+07
A,IT,TOTAL,N_GE1,NR,CH,2347058,15975158,FALSE,FALSE,7e+06
A,IT,TOTAL,N_GE1,NR,CZ,721043,4566882,FALSE,FALSE,10500000
A,IT,TOTAL,N_GE1,NR,DE,11633147,90357862,FALSE,FALSE,8.5e+07
A,IT,TOTAL,N_GE1,NR,DK,637193,5427984,FALSE,FALSE,5800000
A,IT,TOTAL,N_GE1,NR,ES,1894788,10964468,FALSE,FALSE,4.7e+07
A,IT,TOTAL,N_GE1,NR,FI,353641,2855522,FALSE,FALSE,5500000
A,IT,TOTAL,N_GE1,NR,FR,3484102,22465153,FALSE,FALSE,6.8e+07
A,IT,TOTAL,N_GE1,NR,IE,473502,3197677,FALSE,FALSE,5100000
A,IT,TOTAL,N_GE1,NR,LU,211988,1569521,FALSE,FALSE,640000
A,IT,TOTAL,N_GE1,NR,NL,1208350,12177540,FALSE,FALSE,1.7e+07
A,IT,TOTAL,N_GE1,NR,NO,434007.224849527,3232786.91929738,FALSE,FALSE,5300000
A,IT,TOTAL,N_GE1,NR,PL,1114411,9435813,FALSE,FALSE,3.7e+07
A,IT,TOTAL,N_GE1,NR,PT,172906,1045728,FALSE,FALSE,10300000
A,IT,TOTAL,N_GE1,NR,SE,998384,7662973,FALSE,FALSE,10400000
A,IT,TOTAL,N_GE1,NR,SK,339716,2314987,FALSE,FALSE,5400000
A,IT,TOTAL,N_GE1,NR,UK,5486506.42734308,40867306.3382877,FALSE,FALSE,6.7e+07
A,LU,TOTAL,N_GE1,NR,DE,413902.022577611,1627585.27751646,TRUE,TRUE,8.5e+07
A,LU,TOTAL,N_GE1,NR,FR,196238,409018,TRUE,TRUE,6.8e+07
A,LU,TOTAL,N_GE1,NR,IT,292166.133584196,1148883.72530574,FALSE,FALSE,6e+07
A,NL,TOTAL,N_GE1,NR,DE,7090968,40868356,FALSE,FALSE,8.5e+07
A,NL,TOTAL,N_GE1,NR,FR,915086,4478087,FALSE,FALSE,6.8e+07
A,NL,TOTAL,N_GE1,NR,IT,510998,3124804,TRUE,TRUE,6e+07
A,NO,TOTAL,N_GE1,NR,DE,1167860,11574003,TRUE,TRUE,8.5e+07
A,NO,TOTAL,N_GE1,NR,FR,164884,1505724,FALSE,FALSE,6.8e+07
A,NO,TOTAL,N_GE1,NR,IT,921486.989884897,6880746.63411231,FALSE,FALSE,6e+07
A,PL,TOTAL,N_GE1,NR,DE,3126133,20449548,FALSE,FALSE,8.5e+07
A,PL,TOTAL,N_GE1,NR,FR,311202,2429124,FALSE,FALSE,6.8e+07
A,PL,TOTAL,N_GE1,NR,IT,1181497.86962079,7679502.34341713,TRUE,TRUE,6e+07
A,PT,TOTAL,N_GE1,NR,DE,2040890,17088519,FALSE,FALSE,8.5e+07
A,PT,TOTAL,N_GE1,NR,FR,1599461,14110942,FALSE,FALSE,6.8e+07
A,PT,TOTAL,N_GE1,NR,IT,1741150.14694096,13846013.2914774,TRUE,TRUE,6e+07
A,SE,TOTAL,N_GE1,NR,DE,1544066,16280920,FALSE,FALSE,8.5e+07
A,SE,TOTAL,N_GE1,NR,FR,176526,2285860,TRUE,TRUE,6.8e+07
A,SE,TOTAL,N_GE1,NR,IT,1145887.99017838,7856451.65017693,TRUE,TRUE,6e+07
A,SK,TOTAL,N_GE1,NR,DE,3306290.63157895,14975815.3684211,TRUE,TRUE,8.5e+07
A,SK,TOTAL,N_GE1,NR,FR,2645032.50526316,11980652.2947368,TRUE,TRUE,6.8e+07
A,SK,TOTAL,N_GE1,NR,IT,2333852.21052632,10571163.7894737,TRUE,TRUE,6e+07
A,UK,TOTAL,N_GE1,NR,DE,2981999,20560515,FALSE,FALSE,8.5e+07
A,UK,TOTAL,N_GE1,NR,FR,2003304,9086853,FALSE,FALSE,6.8e+07
A,UK,TOTAL,N_GE1,NR,IT,884973,4603386,FALSE,FALSE,6e+07
A,CN,TOTAL,N_GE1,NR,IS,1366.25778872627,20289.6346543979,TRUE,TRUE,350000
A,DE,TOTAL,N_GE1,NR,IS,22574.0116085684,118896.513437999,TRUE,TRUE,350000
A,FR,TOTAL,N_GE1,NR,IS,23896.2331860108,179295.266942096,TRUE,TRUE,350000
A,IT,TOTAL,N_GE1,NR,IS,28660.8544711952,213485.928632846,TRUE,TRUE,350000
