c_dest,geo,trips,nights
BE,CN,7922.30785714286,12108.6321428571
CH,CN,46449.2592857143,66550.4314285714
CZ,CN,24824.5992857143,37333.86
DE,CN,63114.1457142857,117595.804285714
DK,CN,3767.29285714286,11169.3128571429
ES,CN,70809.3492857143,119782.161428571
FI,CN,11098.5107142857,17956.3435714286
FR,CN,78048.0235714286,141426.771428571
IE,CN,3312.61958128079,4790.89071428571
IS,CN,14125.4957142857,18488.7642857143
IT,CN,128981.228571429,218061.927857143
LU,CN,774.996428571429,1149.60857142857
NL,CN,14979.8442857143,26325.0835714286
NO,CN,10694.9285064935,17303.3856233766
PL,CN,5583.67928571429,9561.91285714286
PT,CN,15429.9407142857,24716.2178571429
SE,CN,8182.51285714286,16419.99
SK,CN,2342.985,3192.81428571429
UK,CN,76900.2585189076,139346.965966387
